algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n), T4(n)
300,300,400,100,344,127,22,19
1000,600,600,200,980,273,32,29
1700,1000,1100,100,2126,474,44,38
3500,1600,1000,300,3932,730,55,48
4400,2100,1400,200,6548,1041,67,57
7200,3800,1900,400,10124,1407,80,67
10100,3800,1900,300,14810,1828,92,76
13400,4700,2100,400,20756,2304,105,86
17500,5700,2400,500,28112,2835,117,95
21900,6800,2700,500,37028,3421,130,105
28000,8100,3000,500,47654,4062,143,114
34400,9600,3100,500,60140,4758,156,124
41900,11200,3400,600,74636,5509,170,133
50500,12900,3800,600,91292,6315,183,143
62300,14400,4100,800,110258,7176,197,152
70900,16200,4400,800,131684,8092,210,162
82900,18200,4500,800,155720,9063,224,171
97000,20300,5000,900,182516,10089,238,181
111400,22600,5100,900,212222,11170,251,190
